text,sentiment,engagement,sarcasm
Today has been rough and stressful.,0,high,0
Another terrible service experience.,0,low,0
Best coffee I've had in a while!,1,high,0
Loving the new features of this app!,1,high,0
I'm loving the positive energy around me.,1,low,0
Best coffee I've had in a while!,1,low,0
Today has been rough and stressful.,0,high,0
Great vibes today with friends.,1,medium,2
I'm loving the positive energy around me.,1,high,0
I'm loving the positive energy around me.,1,high,0
Such a lovely evening by the beach.,1,high,0
I'm so proud of my progress.,1,high,0
Unhappy with how things turned out.,0,low,0
Feeling sick and exhausted.,0,high,0
Such a lovely evening by the beach.,1,medium,0
I'm blessed beyond measure.,1,low,2
Celebrating small wins today!,1,medium,0
So disappointed with the flight delay.,0,medium,0
Best coffee I've had in a while!,1,medium,0
"Internet issues again, so annoying.",0,medium,0
Dealing with toxic people today.,0,low,0
Loving the new features of this app!,1,low,0
Totally ruined my weekend plans.,0,medium,0
Unhappy with how things turned out.,0,medium,0
I appreciate everyone in my life.,1,low,0
Unhappy with how things turned out.,0,low,0
Great vibes today with friends.,1,low,2
Feeling motivated and grateful.,1,high,0
I'm tired of constant negativity.,0,high,0
That concert was mind-blowing!,1,high,0
Feeling motivated and grateful.,1,medium,0
"Just completed a marathon, feeling strong!",1,high,0
That concert was mind-blowing!,1,medium,0
I'm so proud of my progress.,1,medium,0
"Lost my wallet today, worst luck.",0,high,0
Another terrible service experience.,0,medium,0
The weather ruined my plans.,0,high,0
So disappointed with the flight delay.,0,high,0
Feeling sick and exhausted.,0,low,0
Bad vibes all day long.,0,high,0
I'm loving the positive energy around me.,1,low,0
Today has been rough and stressful.,0,high,0
The weather ruined my plans.,0,high,0
I appreciate everyone in my life.,1,low,0
Feeling fresh and focused.,1,low,0
Totally ruined my weekend plans.,0,high,0
Another terrible service experience.,0,medium,0
"This app keeps crashing, so frustrating.",0,low,0
I'm loving the positive energy around me.,1,medium,0
Just had the best vacation ever!,1,medium,0
"Just completed a marathon, feeling strong!",1,medium,0
Dealing with toxic people today.,0,low,0
Everything is falling into place.,1,medium,0
Weekend getaway was perfect.,1,low,2
Unhappy with how things turned out.,0,medium,0
Best coffee I've had in a while!,1,high,0
Great vibes today with friends.,1,high,2
Totally ruined my weekend plans.,0,low,0
I'm tired of constant negativity.,0,high,0
"Internet issues again, so annoying.",0,high,0
"This app keeps crashing, so frustrating.",0,medium,0
I'm heartbroken and upset.,0,low,0
Unhappy with how things turned out.,0,medium,0
Bad vibes all day long.,0,medium,0
Everything is falling into place.,1,medium,0
Another terrible service experience.,0,medium,0
"Internet issues again, so annoying.",0,medium,0
"This app keeps crashing, so frustrating.",0,medium,0
I feel so energetic this morning.,1,medium,0
Feeling sick and exhausted.,0,low,0
"Lost my wallet today, worst luck.",0,high,0
Great vibes today with friends.,1,medium,2
Feeling sick and exhausted.,0,medium,0
Such a lovely evening by the beach.,1,medium,0
Celebrating small wins today!,1,medium,0
Loving the new features of this app!,1,medium,0
Dealing with toxic people today.,0,medium,0
Feeling defeated and exhausted.,0,high,0
"Just completed a marathon, feeling strong!",1,high,0
Everything is falling into place.,1,medium,0
I'm so proud of my progress.,1,high,0
Loving the new features of this app!,1,low,0
Such a lovely evening by the beach.,1,medium,0
"This app keeps crashing, so frustrating.",0,low,0
I'm heartbroken and upset.,0,low,0
I'm so proud of my progress.,1,medium,0
Bad headache ruining my day.,0,high,0
So disappointed with the flight delay.,0,low,0
So disappointed with the flight delay.,0,medium,0
So disappointed with the flight delay.,0,low,0
"Lost my wallet today, worst luck.",0,low,0
Feeling sick and exhausted.,0,low,0
That concert was mind-blowing!,1,low,0
Best coffee I've had in a while!,1,high,0
The weather ruined my plans.,0,low,0
Dinner date went amazing!,1,low,0
Dinner date went amazing!,1,low,0
Totally ruined my weekend plans.,0,high,0
Excited for my new job journey!,1,low,0
I'm blessed beyond measure.,1,low,2
Feeling defeated and exhausted.,0,high,0
That concert was mind-blowing!,1,high,0
I'm heartbroken and upset.,0,high,0
Another terrible service experience.,0,low,0
Feeling fresh and focused.,1,high,0
The weather ruined my plans.,0,high,0
Bad vibes all day long.,0,low,0
Unhappy with how things turned out.,0,high,0
Just had the best vacation ever!,1,low,0
I'm blessed beyond measure.,1,medium,2
Life is beautiful today.,1,high,0
Bad headache ruining my day.,0,medium,0
I appreciate everyone in my life.,1,low,0
That concert was mind-blowing!,1,high,0
Loving the new features of this app!,1,low,0
Feeling motivated and grateful.,1,medium,0
Feeling motivated and grateful.,1,low,0
I feel so energetic this morning.,1,high,0
Celebrating small wins today!,1,high,0
Weekend getaway was perfect.,1,medium,2
Feeling motivated and grateful.,1,low,0
Great vibes today with friends.,1,high,2
Dinner date went amazing!,1,medium,0
Feeling lonely and sad.,0,high,0
That concert was mind-blowing!,1,high,0
"This app keeps crashing, so frustrating.",0,low,0
Totally ruined my weekend plans.,0,high,0
Great vibes today with friends.,1,low,2
The weather ruined my plans.,0,high,0
Feeling lonely and sad.,0,medium,0
Dealing with rude customer support again.,0,high,0
Another terrible service experience.,0,low,0
Totally ruined my weekend plans.,0,low,0
Bad headache ruining my day.,0,medium,0
I'm tired of constant negativity.,0,high,0
I'm blessed beyond measure.,1,high,2
Feeling defeated and exhausted.,0,medium,0
Totally ruined my weekend plans.,0,high,0
Dinner date went amazing!,1,high,0
I feel so energetic this morning.,1,low,0
Weekend getaway was perfect.,1,high,2
Feeling lonely and sad.,0,high,0
I feel so energetic this morning.,1,medium,0
I'm blessed beyond measure.,1,medium,2
I'm blessed beyond measure.,1,low,2
Everything is falling into place.,1,high,0
I'm so proud of my progress.,1,high,0
Nothing seems to be going right.,0,high,0
I appreciate everyone in my life.,1,low,0
Today has been rough and stressful.,0,low,0
I feel so energetic this morning.,1,medium,0
Feeling sick and exhausted.,0,low,0
I'm loving the positive energy around me.,1,high,0
Life is beautiful today.,1,high,0
So disappointed with the flight delay.,0,low,0
"This app keeps crashing, so frustrating.",0,high,0
"This app keeps crashing, so frustrating.",0,high,0
Celebrating small wins today!,1,low,0
Bad vibes all day long.,0,low,0
Feeling sick and exhausted.,0,high,0
Bad headache ruining my day.,0,high,0
I feel so energetic this morning.,1,high,0
I can't handle this pressure anymore.,0,medium,2
Life is beautiful today.,1,medium,0
That concert was mind-blowing!,1,medium,0
Today has been rough and stressful.,0,low,0
Dinner date went amazing!,1,medium,0
Dealing with toxic people today.,0,low,0
Weekend getaway was perfect.,1,low,2
Loving the new features of this app!,1,medium,0
Great vibes today with friends.,1,medium,2
I'm tired of constant negativity.,0,medium,0
I'm tired of constant negativity.,0,high,0
I'm blessed beyond measure.,1,medium,2
The weather ruined my plans.,0,high,0
The weather ruined my plans.,0,low,0
Feeling lonely and sad.,0,high,0
I can't handle this pressure anymore.,0,medium,2
I appreciate everyone in my life.,1,low,0
Dealing with toxic people today.,0,low,0
"Just completed a marathon, feeling strong!",1,low,0
Feeling motivated and grateful.,1,high,0
I'm blessed beyond measure.,1,medium,2
Just had the best vacation ever!,1,low,0
Celebrating small wins today!,1,low,0
"Just completed a marathon, feeling strong!",1,low,0
Today has been rough and stressful.,0,high,0
Such a lovely evening by the beach.,1,high,0
"Lost my wallet today, worst luck.",0,medium,0
Everything is falling into place.,1,high,0
Today has been rough and stressful.,0,low,0
Celebrating small wins today!,1,medium,0
I feel so energetic this morning.,1,low,0
Excited for my new job journey!,1,low,0
I'm heartbroken and upset.,0,high,0
"Internet issues again, so annoying.",0,medium,0
I can't handle this pressure anymore.,0,high,2
Feeling fresh and focused.,1,high,0
Celebrating small wins today!,1,medium,0
I appreciate everyone in my life.,1,low,0
Celebrating small wins today!,1,low,0
Just had the best vacation ever!,1,medium,0
Best coffee I've had in a while!,1,low,0
Unhappy with how things turned out.,0,medium,0
Life is beautiful today.,1,medium,0
I can't handle this pressure anymore.,0,high,2
I can't handle this pressure anymore.,0,medium,2
Just had the best vacation ever!,1,high,0
Feeling defeated and exhausted.,0,low,0
That concert was mind-blowing!,1,low,0
"Just completed a marathon, feeling strong!",1,low,0
I can't handle this pressure anymore.,0,low,2
I'm so proud of my progress.,1,high,0
So disappointed with the flight delay.,0,low,0
Bad vibes all day long.,0,medium,0
Great vibes today with friends.,1,medium,2
I'm tired of constant negativity.,0,medium,0
Bad vibes all day long.,0,high,0
I can't handle this pressure anymore.,0,low,2
Feeling motivated and grateful.,1,low,0
Great vibes today with friends.,1,low,2
"Lost my wallet today, worst luck.",0,high,0
Great vibes today with friends.,1,medium,2
Everything is falling into place.,1,medium,0
The weather ruined my plans.,0,low,0
Totally ruined my weekend plans.,0,medium,0
Life is beautiful today.,1,medium,0
Best coffee I've had in a while!,1,high,0
Bad headache ruining my day.,0,high,0
Life is beautiful today.,1,high,0
"Just completed a marathon, feeling strong!",1,high,0
"Internet issues again, so annoying.",0,low,0
I'm loving the positive energy around me.,1,high,0
Dealing with rude customer support again.,0,medium,0
Loving the new features of this app!,1,low,0
Life is beautiful today.,1,medium,0
Feeling fresh and focused.,1,medium,0
Best coffee I've had in a while!,1,medium,0
Feeling sick and exhausted.,0,high,0
Bad vibes all day long.,0,high,0
Totally ruined my weekend plans.,0,low,0
Dealing with rude customer support again.,0,low,0
Feeling defeated and exhausted.,0,high,0
Dealing with toxic people today.,0,medium,0
I'm blessed beyond measure.,1,low,2
Such a lovely evening by the beach.,1,high,0
"Lost my wallet today, worst luck.",0,high,0
Nothing seems to be going right.,0,high,0
I feel so energetic this morning.,1,medium,0
Totally ruined my weekend plans.,0,high,0
Everything is falling into place.,1,high,0
Feeling defeated and exhausted.,0,high,0
Feeling motivated and grateful.,1,high,0
I appreciate everyone in my life.,1,low,0
Just had the best vacation ever!,1,low,0
Dealing with toxic people today.,0,high,0
Best coffee I've had in a while!,1,medium,0
Such a lovely evening by the beach.,1,low,0
Feeling fresh and focused.,1,high,0
"Internet issues again, so annoying.",0,low,0
Dealing with rude customer support again.,0,low,0
Feeling sick and exhausted.,0,medium,0
I'm loving the positive energy around me.,1,high,0
Feeling lonely and sad.,0,high,0
I'm so proud of my progress.,1,medium,0
Great vibes today with friends.,1,medium,2
Such a lovely evening by the beach.,1,high,0
Feeling fresh and focused.,1,high,0
Bad vibes all day long.,0,medium,0
I'm heartbroken and upset.,0,low,0
Life is beautiful today.,1,low,0
Nothing seems to be going right.,0,medium,0
That concert was mind-blowing!,1,low,0
Loving the new features of this app!,1,medium,0
Feeling sick and exhausted.,0,low,0
Another terrible service experience.,0,low,0
I'm so proud of my progress.,1,high,0
Excited for my new job journey!,1,high,0
Excited for my new job journey!,1,low,0
"Lost my wallet today, worst luck.",0,low,0
Feeling fresh and focused.,1,high,0
Dealing with rude customer support again.,0,high,0
Feeling fresh and focused.,1,high,0
Nothing seems to be going right.,0,medium,0
Feeling lonely and sad.,0,low,0
Weekend getaway was perfect.,1,high,2
Dinner date went amazing!,1,low,0
Today has been rough and stressful.,0,medium,0
Celebrating small wins today!,1,medium,0
Such a lovely evening by the beach.,1,high,0
Bad headache ruining my day.,0,medium,0
I'm tired of constant negativity.,0,low,0
Bad headache ruining my day.,0,high,0
So disappointed with the flight delay.,0,low,0
I can't handle this pressure anymore.,0,low,2
"Lost my wallet today, worst luck.",0,medium,0
"Lost my wallet today, worst luck.",0,medium,0
The weather ruined my plans.,0,medium,0
Such a lovely evening by the beach.,1,medium,0
Feeling defeated and exhausted.,0,medium,0
I feel so energetic this morning.,1,high,0
I'm blessed beyond measure.,1,low,2
Weekend getaway was perfect.,1,low,2
I appreciate everyone in my life.,1,low,0
I'm blessed beyond measure.,1,low,2
Everything is falling into place.,1,medium,0
"Just completed a marathon, feeling strong!",1,low,0
Unhappy with how things turned out.,0,high,0
I'm loving the positive energy around me.,1,high,0
Dealing with rude customer support again.,0,low,0
Excited for my new job journey!,1,low,0
Loving the new features of this app!,1,high,0
So disappointed with the flight delay.,0,high,0
Bad headache ruining my day.,0,medium,0
I can't handle this pressure anymore.,0,high,2
Dealing with toxic people today.,0,medium,0
"Just completed a marathon, feeling strong!",1,medium,0
I appreciate everyone in my life.,1,medium,0
I feel so energetic this morning.,1,medium,0
Dinner date went amazing!,1,medium,0
Feeling lonely and sad.,0,low,0
I'm heartbroken and upset.,0,high,0
Nothing seems to be going right.,0,medium,0
Just had the best vacation ever!,1,high,0
Best coffee I've had in a while!,1,high,0
Bad headache ruining my day.,0,medium,0
I feel so energetic this morning.,1,low,0
Great vibes today with friends.,1,medium,2
"Internet issues again, so annoying.",0,low,0
I'm so proud of my progress.,1,high,0
Just had the best vacation ever!,1,low,0
Just had the best vacation ever!,1,low,0
I feel so energetic this morning.,1,low,0
That concert was mind-blowing!,1,high,0
Feeling motivated and grateful.,1,high,0
Great vibes today with friends.,1,low,2
I'm so proud of my progress.,1,low,0
"This app keeps crashing, so frustrating.",0,medium,0
I'm so proud of my progress.,1,low,0
I'm heartbroken and upset.,0,medium,0
Nothing seems to be going right.,0,low,0
Unhappy with how things turned out.,0,medium,0
"Lost my wallet today, worst luck.",0,high,0
Excited for my new job journey!,1,low,0
Excited for my new job journey!,1,low,0
Life is beautiful today.,1,low,0
Feeling motivated and grateful.,1,low,0
Loving the new features of this app!,1,medium,0
The weather ruined my plans.,0,low,0
"This app keeps crashing, so frustrating.",0,high,0
Feeling lonely and sad.,0,high,0
Weekend getaway was perfect.,1,low,2
Life is beautiful today.,1,high,0
That concert was mind-blowing!,1,low,0
"This app keeps crashing, so frustrating.",0,low,0
Excited for my new job journey!,1,high,0
Today has been rough and stressful.,0,low,0
Nothing seems to be going right.,0,high,0
Everything is falling into place.,1,medium,0
I appreciate everyone in my life.,1,low,0
Dinner date went amazing!,1,medium,0
Feeling fresh and focused.,1,high,0
Best coffee I've had in a while!,1,medium,0
Life is beautiful today.,1,medium,0
Dinner date went amazing!,1,high,0
Nothing seems to be going right.,0,medium,0
"Lost my wallet today, worst luck.",0,medium,0
I'm heartbroken and upset.,0,high,0
Weekend getaway was perfect.,1,medium,2
Dealing with toxic people today.,0,high,0
Dinner date went amazing!,1,medium,0
"Just completed a marathon, feeling strong!",1,high,0
Feeling sick and exhausted.,0,high,0
I can't handle this pressure anymore.,0,medium,2
Dealing with toxic people today.,0,medium,0
Today has been rough and stressful.,0,medium,0
Everything is falling into place.,1,low,0
Nothing seems to be going right.,0,low,0
I'm blessed beyond measure.,1,low,2
Feeling sick and exhausted.,0,high,0
"Internet issues again, so annoying.",0,medium,0
Weekend getaway was perfect.,1,high,2
Best coffee I've had in a while!,1,low,0
Feeling motivated and grateful.,1,medium,0
Dinner date went amazing!,1,high,0
That concert was mind-blowing!,1,medium,0
Bad vibes all day long.,0,high,0
The weather ruined my plans.,0,medium,0
Another terrible service experience.,0,low,0
Dealing with toxic people today.,0,low,0
Bad headache ruining my day.,0,medium,0
"Just completed a marathon, feeling strong!",1,high,0
Loving the new features of this app!,1,low,0
I feel so energetic this morning.,1,low,0
Totally ruined my weekend plans.,0,low,0
Life is beautiful today.,1,medium,0
Feeling defeated and exhausted.,0,medium,0
So disappointed with the flight delay.,0,high,0
Feeling defeated and exhausted.,0,high,0
Bad vibes all day long.,0,high,0
Unhappy with how things turned out.,0,medium,0
I can't handle this pressure anymore.,0,medium,2
Excited for my new job journey!,1,high,0
Weekend getaway was perfect.,1,high,2
I appreciate everyone in my life.,1,medium,0
Feeling defeated and exhausted.,0,high,0
Dealing with rude customer support again.,0,low,0
"Internet issues again, so annoying.",0,medium,0
Feeling motivated and grateful.,1,high,0
Celebrating small wins today!,1,medium,0
Best coffee I've had in a while!,1,low,0
"Internet issues again, so annoying.",0,medium,0
Feeling defeated and exhausted.,0,medium,0
I'm tired of constant negativity.,0,medium,0
I'm heartbroken and upset.,0,medium,0
I'm tired of constant negativity.,0,low,0
Feeling sick and exhausted.,0,medium,0
Celebrating small wins today!,1,medium,0
I'm loving the positive energy around me.,1,high,0
Dealing with toxic people today.,0,medium,0
I'm heartbroken and upset.,0,high,0
Nothing seems to be going right.,0,low,0
I'm heartbroken and upset.,0,low,0
Bad vibes all day long.,0,low,0
I'm tired of constant negativity.,0,low,0
I'm tired of constant negativity.,0,high,0
Just had the best vacation ever!,1,medium,0
I'm tired of constant negativity.,0,low,0
The weather ruined my plans.,0,medium,0
I'm so proud of my progress.,1,high,0
Loving the new features of this app!,1,high,0
So disappointed with the flight delay.,0,high,0
I'm heartbroken and upset.,0,low,0
Dinner date went amazing!,1,medium,0
Everything is falling into place.,1,medium,0
So disappointed with the flight delay.,0,medium,0
"Just completed a marathon, feeling strong!",1,high,0
"Internet issues again, so annoying.",0,low,0
Excited for my new job journey!,1,high,0
Excited for my new job journey!,1,high,0
Feeling defeated and exhausted.,0,medium,0
I appreciate everyone in my life.,1,high,0
Weekend getaway was perfect.,1,medium,2
Feeling lonely and sad.,0,low,0
Nothing seems to be going right.,0,medium,0
Life is beautiful today.,1,low,0
Weekend getaway was perfect.,1,medium,2
Another terrible service experience.,0,high,0
Bad headache ruining my day.,0,high,0
Excited for my new job journey!,1,low,0
Today has been rough and stressful.,0,low,0
So disappointed with the flight delay.,0,low,0
I'm heartbroken and upset.,0,medium,0
Loving the new features of this app!,1,medium,0
Just had the best vacation ever!,1,low,0
"Lost my wallet today, worst luck.",0,high,0
Such a lovely evening by the beach.,1,medium,0
I'm loving the positive energy around me.,1,medium,0
I'm so proud of my progress.,1,medium,0
Just had the best vacation ever!,1,low,0
I'm tired of constant negativity.,0,low,0
I can't handle this pressure anymore.,0,low,2
Totally ruined my weekend plans.,0,low,0
Dealing with rude customer support again.,0,low,0
Nothing seems to be going right.,0,high,0
Dealing with rude customer support again.,0,high,0
"Just completed a marathon, feeling strong!",1,low,0
Feeling motivated and grateful.,1,medium,0
Feeling fresh and focused.,1,low,0
Just had the best vacation ever!,1,high,0
Unhappy with how things turned out.,0,high,0
Another terrible service experience.,0,medium,0
Feeling lonely and sad.,0,high,0
Another terrible service experience.,0,low,0
Bad headache ruining my day.,0,medium,0
Dealing with rude customer support again.,0,low,0
Dealing with rude customer support again.,0,low,0
Bad headache ruining my day.,0,medium,0
"This app keeps crashing, so frustrating.",0,low,0
Celebrating small wins today!,1,high,0
Feeling fresh and focused.,1,low,0
The weather ruined my plans.,0,medium,0
Today has been rough and stressful.,0,medium,0
Dealing with rude customer support again.,0,medium,0
Feeling lonely and sad.,0,low,0
Nothing seems to be going right.,0,medium,0
Feeling lonely and sad.,0,medium,0
"This app keeps crashing, so frustrating.",0,low,0
Bad vibes all day long.,0,high,0
Today has been rough and stressful.,0,low,0
Another terrible service experience.,0,medium,0
Everything is falling into place.,1,medium,0
Another terrible service experience.,0,low,0
Feeling fresh and focused.,1,high,0
Such a lovely evening by the beach.,1,medium,0
"Internet issues again, so annoying.",0,medium,0
I'm loving the positive energy around me.,1,medium,0
That concert was mind-blowing!,1,low,0
Dealing with rude customer support again.,0,medium,0
Unhappy with how things turned out.,0,high,0
